Totals for data,Async,Foundation,KnownOrigin,Makersplace,Nifty Gateway,OpenSea,Rarible,SuperRare,Zora
2020-09-24,3607950,0,17594020,22722361,6800652,267508795,648314496,36220151,0
2020-09-23,1895942,0,8837120,22869664,58401947,341697727,552423839,46551199,0
2020-09-22,2322741,0,9907059,22651895,86579000,349721826,517843875,40453358,0
2020-09-21,970495,0,11798596,16618420,103520109,98310236,368528618,28569757,0
2020-09-20,3586165,0,17281848,40890746,2258136,104852075,494209344,14155160,0
2020-09-19,3081680,0,17380390,45580370,546754,150453994,437623794,18159718,0
2020-09-18,2688048,0,6465825,11082893,4173227,103702836,306160477,19618399,0
2020-09-17,386310,0,2234847,9104140,1207576,45116462,87475332,10910904,0
2020-09-16,1282794,0,12194096,9136759,16509680,118084990,337424932,16014886,0
2020-09-15,2002790,0,20103299,12161879,107350059,101004543,401251697,18937311,0
2020-09-14,1904238,0,5237174,13215820,136346001,58260276,388668388,18090164,0
2020-09-13,783830,0,8811680,10094355,364305,77432657,272879775,12564718,0
2020-09-12,705417,0,10292473,5147419,17537339,68459827,332868790,13574425,0
2020-09-11,1102443,0,16140759,30506921,37817012,67256669,367965544,16436225,0
2020-09-10,1694599,0,8520775,9096036,31564772,50361651,328634454,16049535,0
2020-09-09,2785267,0,14244348,19842978,25188979,49127776,282761466,16254870,0
2020-09-08,5569738,0,9996899,23231185,416713,83856118,200240242,20583168,0
2020-09-07,3741278,0,8217951,24945284,27638993,78685061,191673888,14883312,0
2020-09-06,2660515,0,7495102,15584436,759663,66290898,169879404,19761062,0
2020-09-05,1396346,0,1827142,7536749,275976,35910389,55373087,8922254,0
2020-09-04,1074404,0,3026131,22504897,1552637,36194655,74207475,16215719,0
2020-09-03,5869458,0,1408074,4652827,325911,27238912,42420895,10235577,0
2020-09-02,305000,0,562745,2465083,15805977,10333818,12239661,10318889,0
2020-09-01,3124088,0,306594,1955699,592403,14593418,8417001,8371558,0
2020-08-31,774901,0,1588394,3688840,40003646,17354987,19888137,11024341,0
2020-08-30,397166,0,3767086,3819514,361467,25034855,42272109,14346217,0
2020-08-29,3498229,0,4808902,18912266,6680718,51429303,61552976,17151454,0
2020-08-28,794898,0,8534012,21863984,9868345,60923924,76513309,22788799,0
2020-08-27,282610,0,6040647,30909099,9130638,49104269,101396065,17766749,0
2020-08-26,1253006,0,3643091,32867866,8433825,58047482,73978609,18737926,0
2020-08-25,5827340,0,6060354,15492148,4392279,43851480,82866566,16949138,0
2020-08-24,4497685,0,6263750,25695645,114152543,40294855,76824084,21989857,0
2020-08-23,1408707,0,2856038,42968610,3793582,52062867,91235764,13124618,0
2020-08-22,1639537,0,6384221,56599136,463026,41522852,106298080,16371586,0
2020-08-21,907886,0,3903281,15552685,773157,29223526,61221459,15660359,0
2020-08-20,710427,0,8566669,21017370,2959941,43793960,73485967,19583330,0
2020-08-19,1177297,0,3056244,18729568,76794404,24468517,93970866,16520654,0
2020-08-18,7023836,0,5972217,23412791,18274223,33467186,98789971,24698060,0
2020-08-17,6221442,0,8361774,30409772,985805,37351424,85821826,22675815,0
2020-08-16,12510871,0,5660132,21692500,1150872,52834137,89474999,13324044,0
2020-08-15,19746590,0,6014766,12801507,957588,29161132,85195007,13828389,0
2020-08-14,6285174,0,3679414,11383071,4026966,36357637,78873934,21455460,0
2020-08-13,3344767,0,1692984,32709914,40215379,22140354,50005817,19730841,0
2020-08-12,717418,0,851082,1020991,2046479,9123058,33762992,17015061,0
2020-08-11,1019447,0,2241544,6518398,7433243,28653745,60559279,18459435,0
2020-08-10,7557308,0,3333367,13268574,1905830,44345950,72573985,23223657,0
2020-08-09,16551879,0,8245668,17338707,31652861,52369293,71045480,15210280,0
2020-08-08,23699165,0,6647241,9537456,17958246,79834540,91944505,19472592,0
2020-08-07,9017220,0,5657923,30921010,244055759,69362933,87768501,21395707,0
2020-08-06,1958868,0,9208282,45483936,164913729,74480213,67016060,20416942,0
2020-08-05,2199571,0,10622728,31787691,2062440,68759104,63766926,24571460,0
2020-08-04,8745571,0,9311147,20342413,867176,57662107,68785278,35373976,0
2020-08-03,4275912,0,6653335,16269711,230970,51563638,47144282,25041932,0
2020-08-02,6783546,0,11971328,24361511,390192,54389917,61302870,24975976,0
2020-08-01,2094186,0,14270498,25105184,1749321,60856783,54196459,19320078,0
2020-07-31,5749723,0,8639329,14657270,3034711,45130935,75352841,19751247,0
2020-07-30,10304230,0,8078762,36453454,96283914,51230306,67538255,22718409,0
2020-07-29,2840726,0,14715846,19966978,660221,49840238,71806356,20339584,0
2020-07-28,2054426,0,7721128,87835112,460501,59342654,82869057,30361596,0
2020-07-27,2517666,0,7111246,17675166,1355219,46429105,61397973,30114990,0
2020-07-26,5453257,0,9324162,10707614,1261411,56332999,81198224,30725527,0
2020-07-25,7672081,0,9589711,19768957,820960,58606094,83580286,19741021,0
2020-07-24,4024161,0,14440416,17200454,2928961,50872008,91912657,28299901,0
2020-07-23,3574996,0,4905418,37514165,46996445,66606352,95722009,24446211,0
2020-07-22,1287496,0,9563281,9984699,3804065,79640770,78365023,24530064,0
